energy	E(eV)	integral	dFI	FI/dU
1.00E-03	1.00E+03	5.48E-04	0.2376	3.01E-03
1.20E-03	1.20E+03	1.23E-04	5.97E-01	5.50E-04
1.50E-03	1.50E+03	5.42E-04	2.74E-01	1.89E-03
2.00E-03	2.00E+03	4.18E-04	3.07E-01	2.99E-03
2.30E-03	2.30E+03	1.70E-04	4.18E-01	2.04E-03
2.50E-03	2.50E+03	9.99E-05	5.47E-01	5.48E-04
3.00E-03	3.00E+03	3.74E-04	3.45E-01	1.30E-03
4.00E-03	4.00E+03	7.32E-04	2.24E-01	3.28E-03
5.00E-03	5.00E+03	8.20E-04	2.18E-01	4.50E-03
6.00E-03	6.00E+03	6.87E-04	2.41E-01	4.45E-03
7.00E-03	7.00E+03	3.78E-04	3.13E-01	2.83E-03
8.00E-03	8.00E+03	5.65E-05	5.28E-01	4.79E-04
9.00E-03	9.00E+03	1.80E-04	4.54E-01	1.71E-03
1.00E-02	1.00E+04	6.53E-05	7.91E-01	6.85E-04
1.10E-02	1.10E+04	3.31E-04	3.32E-01	3.80E-03
1.20E-02	1.20E+04	3.85E-04	3.41E-01	4.81E-03
1.30E-02	1.30E+04	4.15E-04	3.33E-01	5.60E-03
1.40E-02	1.40E+04	3.32E-04	3.40E-01	4.82E-03
1.50E-02	1.50E+04	3.83E-04	3.36E-01	5.93E-03
1.60E-02	1.60E+04	1.28E-04	4.66E-01	2.11E-03
1.70E-02	1.70E+04	1.23E-04	5.51E-01	2.15E-03
1.80E-02	1.80E+04	2.74E-04	3.82E-01	5.07E-03
1.90E-02	1.90E+04	1.15E-04	5.84E-01	2.25E-03
2.00E-02	2.00E+04	3.29E-04	3.48E-01	6.74E-03
2.10E-02	2.10E+04	3.26E-04	3.38E-01	7.01E-03
2.20E-02	2.20E+04	6.82E-04	2.47E-01	1.53E-02
2.30E-02	2.30E+04	1.41E-03	1.67E-01	3.32E-02
2.40E-02	2.40E+04	2.23E-03	1.37E-01	5.46E-02
2.50E-02	2.50E+04	2.69E-03	1.25E-01	6.87E-02
2.60E-02	2.60E+04	2.73E-03	1.21E-01	7.24E-02
2.70E-02	2.70E+04	1.41E-03	1.70E-01	3.89E-02
2.80E-02	2.80E+04	6.27E-04	2.60E-01	1.79E-02
2.90E-02	2.90E+04	5.11E-04	2.97E-01	1.51E-02
3.00E-02	3.00E+04	1.15E-04	5.95E-01	1.78E-03
3.20E-02	3.20E+04	1.70E-04	4.70E-01	2.80E-03
3.40E-02	3.40E+04	2.91E-04	3.94E-01	5.09E-03
3.60E-02	3.60E+04	4.69E-04	2.99E-01	8.67E-03
3.80E-02	3.80E+04	3.62E-04	3.25E-01	7.06E-03
4.00E-02	4.00E+04	2.91E-04	3.51E-01	5.97E-03
4.20E-02	4.20E+04	4.85E-04	2.69E-01	1.04E-02
4.40E-02	4.40E+04	7.35E-04	2.37E-01	1.65E-02
4.60E-02	4.60E+04	8.34E-04	2.28E-01	1.96E-02
4.80E-02	4.80E+04	6.45E-04	2.48E-01	1.58E-02
5.00E-02	5.00E+04	8.65E-04	2.17E-01	2.21E-02
5.20E-02	5.20E+04	5.07E-04	2.89E-01	1.34E-02
5.40E-02	5.40E+04	9.46E-04	2.09E-01	2.60E-02
5.60E-02	5.60E+04	9.71E-04	2.00E-01	2.77E-02
5.80E-02	5.80E+04	1.02E-03	2.08E-01	3.00E-02
6.00E-02	6.00E+04	1.04E-03	1.99E-01	1.30E-02
6.50E-02	6.50E+04	3.14E-03	1.15E-01	4.24E-02
7.00E-02	7.00E+04	4.20E-03	9.92E-02	6.08E-02
7.50E-02	7.50E+04	4.99E-03	9.13E-02	7.73E-02
8.00E-02	8.00E+04	4.80E-03	9.12E-02	7.93E-02
8.50E-02	8.50E+04	4.16E-03	1.00E-01	7.27E-02
9.00E-02	9.00E+04	3.06E-03	1.19E-01	5.67E-02
9.50E-02	9.50E+04	2.65E-03	1.28E-01	5.16E-02
1.00E-01	1.00E+05	2.32E-03	1.34E-01	4.76E-02
1.05E-01	1.05E+05	2.67E-03	1.25E-01	5.74E-02
1.10E-01	1.10E+05	3.12E-03	1.16E-01	7.02E-02
1.15E-01	1.15E+05	3.32E-03	1.13E-01	7.80E-02
1.20E-01	1.20E+05	4.24E-03	9.75E-02	1.04E-01
1.25E-01	1.25E+05	5.43E-03	8.67E-02	1.38E-01
1.30E-01	1.30E+05	6.64E-03	7.88E-02	1.76E-01
1.35E-01	1.35E+05	6.84E-03	7.80E-02	1.88E-01
1.40E-01	1.40E+05	5.94E-03	8.46E-02	1.00E-01
1.49E-01	1.49E+05	6.84E-03	7.86E-02	1.22E-01
1.57E-01	1.57E+05	5.85E-03	8.45E-02	1.10E-01
1.66E-01	1.66E+05	8.21E-03	7.07E-02	1.63E-01
1.74E-01	1.74E+05	9.44E-03	6.60E-02	1.97E-01
1.83E-01	1.83E+05	9.69E-03	6.60E-02	2.12E-01
1.91E-01	1.91E+05	8.24E-03	7.16E-02	1.88E-01
2.00E-01	2.00E+05	5.69E-03	8.61E-02	1.17E-01
