e-low_eV	e-high_eV	Flux	FI/dU
1.00E-05	1.00E-01	1.85E-11	1.12E-08
1.00E-01	4.14E-01	4.09E-11	1.59E-07
4.14E-01	5.32E-01	6.59E-11	1.46E-06
5.32E-01	6.83E-01	9.72E-11	2.15E-06
6.83E-01	8.76E-01	1.39E-10	3.08E-06
8.76E-01	1.12E+00	1.92E-10	4.29E-06
1.12E+00	1.44E+00	2.61E-10	5.81E-06
1.44E+00	1.86E+00	3.52E-10	7.70E-06
1.86E+00	2.38E+00	4.54E-10	1.01E-05
2.38E+00	3.06E+00	5.80E-10	1.29E-05
3.06E+00	3.93E+00	7.29E-10	1.62E-05
3.93E+00	5.04E+00	9.03E-10	2.00E-05
5.04E+00	6.48E+00	1.10E-09	2.45E-05
6.48E+00	8.32E+00	1.34E-09	2.96E-05
8.32E+00	1.07E+01	1.60E-09	3.54E-05
1.07E+01	1.37E+01	1.90E-09	4.20E-05
1.37E+01	1.76E+01	2.23E-09	4.95E-05
1.76E+01	2.26E+01	2.61E-09	5.79E-05
2.26E+01	2.90E+01	3.04E-09	6.73E-05
2.90E+01	3.73E+01	3.52E-09	7.79E-05
3.73E+01	4.79E+01	4.06E-09	8.99E-05
4.79E+01	6.14E+01	4.67E-09	1.03E-04
6.14E+01	7.89E+01	5.36E-09	1.19E-04
7.89E+01	1.01E+02	6.16E-09	1.36E-04
1.01E+02	1.30E+02	7.07E-09	1.57E-04
1.30E+02	1.67E+02	8.14E-09	1.80E-04
1.67E+02	2.14E+02	9.39E-09	2.08E-04
2.14E+02	2.75E+02	1.09E-08	2.41E-04
2.75E+02	3.54E+02	1.24E-08	2.74E-04
3.54E+02	4.54E+02	1.44E-08	3.20E-04
4.54E+02	5.83E+02	1.80E-08	4.00E-04
5.83E+02	7.49E+02	2.19E-08	4.86E-04
7.49E+02	9.61E+02	2.70E-08	5.98E-04
9.61E+02	1.23E+03	3.28E-08	7.27E-04
1.23E+03	1.58E+03	4.85E-08	1.07E-03
1.58E+03	2.03E+03	6.31E-08	1.40E-03
2.03E+03	2.25E+03	3.20E-08	1.77E-03
2.25E+03	2.49E+03	3.46E-08	1.92E-03
2.49E+03	2.61E+03	1.95E-08	2.16E-03
