E_low,E_max,Sp/dE,Sp/log(E/e),prompt_n_source
1.00E-05,1.00E-01,1.46E-10,3.66E-12,1.4640E-11
1.00E-01,4.14E-01,2.96E-10,1.51E-10,9.3013E-11
4.14E-01,5.32E-01,4.41E-10,4.77E-10,5.1798E-11
5.32E-01,6.83E-01,4.99E-10,6.94E-10,7.5390E-11
6.83E-01,8.76E-01,5.66E-10,1.01E-09,1.0968E-10
8.76E-01,1.13E+00,6.41E-10,1.47E-09,1.5972E-10
1.13E+00,1.45E+00,7.27E-10,2.14E-09,2.3226E-10
1.45E+00,1.86E+00,8.24E-10,3.11E-09,3.3802E-10
1.86E+00,2.38E+00,9.33E-10,4.53E-09,4.9150E-10
2.38E+00,3.06E+00,1.06E-09,6.59E-09,7.1588E-10
3.06E+00,3.93E+00,1.20E-09,9.59E-09,1.0409E-09
3.93E+00,5.04E+00,1.36E-09,1.39E-08,1.5144E-09
5.04E+00,6.48E+00,1.54E-09,2.03E-08,2.2043E-09
6.48E+00,8.32E+00,1.74E-09,2.95E-08,3.2059E-09
8.32E+00,1.07E+01,1.98E-09,4.30E-08,4.6650E-09
1.07E+01,1.37E+01,2.24E-09,6.25E-08,6.7886E-09
1.37E+01,1.76E+01,2.54E-09,9.10E-08,9.8748E-09
1.76E+01,2.26E+01,2.87E-09,1.32E-07,1.4364E-08
2.26E+01,2.90E+01,3.26E-09,1.93E-07,2.0921E-08
2.90E+01,3.73E+01,3.69E-09,2.80E-07,3.0406E-08
3.73E+01,4.79E+01,4.18E-09,4.07E-07,4.4239E-08
4.79E+01,6.14E+01,4.74E-09,5.93E-07,6.4409E-08
6.14E+01,7.89E+01,5.37E-09,8.63E-07,9.3683E-08
7.89E+01,1.01E+02,6.08E-09,1.26E-06,1.3630E-07
1.01E+02,1.30E+02,6.90E-09,1.83E-06,1.9839E-07
1.30E+02,1.67E+02,7.81E-09,2.66E-06,2.8866E-07
1.67E+02,2.14E+02,8.85E-09,3.87E-06,4.1975E-07
2.14E+02,2.75E+02,1.00E-08,5.63E-06,6.1077E-07
2.75E+02,3.54E+02,1.14E-08,8.19E-06,8.8928E-07
3.54E+02,4.54E+02,1.29E-08,1.19E-05,1.2926E-06
4.54E+02,5.83E+02,1.46E-08,1.73E-05,1.8811E-06
5.83E+02,7.49E+02,1.65E-08,2.52E-05,2.7373E-06
7.49E+02,9.61E+02,1.87E-08,3.67E-05,3.9797E-06
9.61E+02,1.23E+03,2.12E-08,5.34E-05,5.7979E-06
1.23E+03,1.58E+03,2.40E-08,7.76E-05,8.4232E-06
1.58E+03,2.03E+03,2.72E-08,1.13E-04,1.2257E-05
2.03E+03,2.25E+03,2.97E-08,1.46E-04,6.3541E-06
2.25E+03,2.49E+03,3.12E-08,1.70E-04,7.3897E-06
2.49E+03,2.61E+03,3.24E-08,1.90E-04,4.1261E-06
2.61E+03,2.75E+03,3.31E-08,2.04E-04,4.4374E-06
2.75E+03,3.04E+03,3.45E-08,2.30E-04,9.9702E-06
3.04E+03,3.35E+03,3.62E-08,2.66E-04,1.1570E-05
3.35E+03,3.71E+03,3.81E-08,3.10E-04,1.3443E-05
3.71E+03,4.31E+03,4.05E-08,3.73E-04,2.4321E-05
4.31E+03,5.53E+03,4.48E-08,5.05E-04,5.4784E-05
5.53E+03,7.10E+03,5.07E-08,7.34E-04,7.9677E-05
7.10E+03,9.12E+03,5.74E-08,1.07E-03,1.1576E-04
9.12E+03,1.06E+04,6.33E-08,1.43E-03,9.3493E-05
1.06E+04,1.17E+04,6.74E-08,1.73E-03,7.5043E-05
