1tally      104        nps =   500000000
+                                    Gamma Leakage Spectrum from Sphere in cell=52 (5mm thick Si(Li)), Normal. 
           tally type 4    track length estimate of particle flux.                             
           particle(s): photons  

           this tally is all multiplied by  3.44196E+03
           this tally is modified by   ft  geb

           volumes 
                   cell:      52                                                                                   
                         1.72111E+03
 
 cell  52                                                                                                                              
      energy   
    1.0000E-02   3.31951E-05 0.0228
    5.0000E-02   3.57455E-04 0.0070
    1.0000E-01   4.22096E-03 0.0021
    1.2000E-01   4.77983E-03 0.0020
    1.4000E-01   6.76273E-03 0.0017
    1.6000E-01   8.26208E-03 0.0015
    1.8000E-01   9.22097E-03 0.0015
    2.0000E-01   9.73958E-03 0.0014
    2.2000E-01   9.95925E-03 0.0014
    2.4000E-01   9.91776E-03 0.0014
    2.6000E-01   9.79539E-03 0.0014
    2.8000E-01   9.58199E-03 0.0014
    3.0000E-01   9.32361E-03 0.0014
    3.2000E-01   9.06462E-03 0.0014
    3.4000E-01   8.85664E-03 0.0015
    3.6000E-01   8.63020E-03 0.0015
    3.8000E-01   8.36941E-03 0.0015
    4.0000E-01   8.13216E-03 0.0015
    4.2000E-01   7.94492E-03 0.0015
    4.4000E-01   7.87804E-03 0.0015
    4.6000E-01   7.92982E-03 0.0015
    4.8000E-01   8.16745E-03 0.0015
    5.0000E-01   8.35391E-03 0.0015
    5.2500E-01   1.02361E-02 0.0013
    5.5000E-01   9.35079E-03 0.0014
    5.7500E-01   8.17889E-03 0.0015
    6.0000E-01   7.34347E-03 0.0016
    6.2500E-01   6.84977E-03 0.0016
    6.5000E-01   6.59775E-03 0.0016
    6.7500E-01   6.39638E-03 0.0017
    7.0000E-01   6.25488E-03 0.0017
    7.2500E-01   6.12850E-03 0.0017
    7.5000E-01   6.17189E-03 0.0017
    7.7500E-01   6.63479E-03 0.0016
    8.0000E-01   7.48188E-03 0.0015
    8.2500E-01   8.49922E-03 0.0014
    8.5000E-01   9.04508E-03 0.0014
    8.7500E-01   8.52561E-03 0.0014
    9.0000E-01   7.10705E-03 0.0016
    9.2500E-01   5.54163E-03 0.0017
    9.5000E-01   4.39117E-03 0.0019
    9.7500E-01   3.76520E-03 0.0021
    1.0000E+00   3.48794E-03 0.0021
    1.0500E+00   6.65327E-03 0.0015
    1.1000E+00   6.32192E-03 0.0016
    1.1500E+00   6.09321E-03 0.0016
    1.2000E+00   5.99924E-03 0.0016
    1.2500E+00   5.89952E-03 0.0016
    1.3000E+00   5.60643E-03 0.0016
    1.3500E+00   5.25357E-03 0.0017
    1.4000E+00   5.06901E-03 0.0017
    1.4500E+00   4.86385E-03 0.0018
    1.5000E+00   4.54035E-03 0.0018
    1.5500E+00   4.26403E-03 0.0019
    1.6000E+00   4.08458E-03 0.0019
    1.6500E+00   3.96268E-03 0.0019
    1.7000E+00   3.89572E-03 0.0019
    1.7500E+00   3.91854E-03 0.0019
    1.8000E+00   3.93184E-03 0.0019
    1.8500E+00   3.84052E-03 0.0020
    1.9000E+00   3.56767E-03 0.0020
    1.9500E+00   3.34181E-03 0.0021
    2.0000E+00   3.20973E-03 0.0021
    2.1000E+00   6.37618E-03 0.0015
    2.2000E+00   6.12576E-03 0.0015
    2.3000E+00   5.57409E-03 0.0016
    2.4000E+00   5.16646E-03 0.0017
    2.5000E+00   4.91542E-03 0.0017
    2.6000E+00   4.80747E-03 0.0017
    2.7000E+00   4.50154E-03 0.0018
    2.8000E+00   4.23896E-03 0.0018
    2.9000E+00   4.08829E-03 0.0019
    3.0000E+00   3.87734E-03 0.0019
    3.1000E+00   3.54813E-03 0.0020
    3.2000E+00   3.35525E-03 0.0020
    3.3000E+00   3.21356E-03 0.0021
    3.4000E+00   3.04681E-03 0.0022
    3.5000E+00   2.99959E-03 0.0022
    3.6000E+00   2.92290E-03 0.0022
    3.7000E+00   2.71630E-03 0.0023
    3.8000E+00   2.45197E-03 0.0024
    3.9000E+00   2.29193E-03 0.0025
    4.0000E+00   2.17831E-03 0.0025
    4.2000E+00   3.94074E-03 0.0019
    4.4000E+00   3.56052E-03 0.0020
    4.6000E+00   3.21236E-03 0.0021
    4.8000E+00   2.82437E-03 0.0022
    5.0000E+00   2.51183E-03 0.0024
    5.2000E+00   2.23337E-03 0.0025
    5.4000E+00   1.98222E-03 0.0026
    5.6000E+00   1.77736E-03 0.0028
    5.8000E+00   1.58560E-03 0.0030
    6.0000E+00   1.40690E-03 0.0031
    6.2000E+00   1.24318E-03 0.0033
    6.4000E+00   1.11379E-03 0.0035
    6.6000E+00   9.86023E-04 0.0038
    6.8000E+00   8.55680E-04 0.0040
    7.0000E+00   7.71945E-04 0.0042
    7.2000E+00   6.88120E-04 0.0045
    7.4000E+00   6.21047E-04 0.0048
    7.6000E+00   5.62803E-04 0.0050
    7.8000E+00   5.18318E-04 0.0053
    8.0000E+00   4.50411E-04 0.0056
    8.2000E+00   3.91994E-04 0.0060
    8.4000E+00   3.37317E-04 0.0065
    8.6000E+00   2.93248E-04 0.0069
    8.8000E+00   2.45256E-04 0.0075
    9.0000E+00   2.19324E-04 0.0080
    9.5000E+00   4.33534E-04 0.0057
    1.0000E+01   3.07764E-04 0.0067
    1.0500E+01   2.11479E-04 0.0081
    1.1000E+01   1.48225E-04 0.0096
    1.1500E+01   1.07890E-04 0.0112
    1.2000E+01   7.72084E-05 0.0133
    1.2500E+01   5.46579E-05 0.0158
    1.3000E+01   3.73349E-05 0.0191
    1.3500E+01   2.74902E-05 0.0222
    1.4000E+01   2.08602E-05 0.0255
    1.5000E+01   2.42968E-05 0.0237
    1.6000E+01   1.20325E-05 0.0338
    1.7000E+01   6.02713E-06 0.0477
    1.8000E+01   2.45628E-06 0.0743
