Energy [eV]	Flux	Energy [MeV]	FI/dE [MeV]
1.00E+03	3.74E-13	1.00E-03	1.43E-07
1.00E+04	1.23E-11	1.00E-02	4.24E-06
2.00E+04	4.23E-12	2.00E-02	1.46E-06
3.00E+04	4.74E-11	3.00E-02	1.09E-05
4.50E+04	6.50E-10	4.50E-02	1.49E-04
6.00E+04	3.52E-09	6.00E-02	1.21E-03
7.00E+04	5.66E-09	7.00E-02	3.90E-03
7.50E+04	1.27E-07	7.50E-02	1.75E-02
1.00E+05	1.02E-06	1.00E-01	7.02E-02
1.50E+05	1.80E-06	1.50E-01	1.24E-01
2.00E+05	4.00E-06	2.00E-01	1.38E-01
3.00E+05	3.42E-06	3.00E-01	1.18E-01
4.00E+05	1.43E-06	4.00E-01	9.87E-02
4.50E+05	1.58E-06	4.50E-01	9.07E-02
5.10E+05	2.80E-07	5.10E-01	4.82E-01
5.12E+05	2.02E-06	5.12E-01	7.90E-02
6.00E+05	2.13E-06	6.00E-01	7.32E-02
7.00E+05	1.97E-06	7.00E-01	6.79E-02
8.00E+05	8.82E-06	8.00E-01	1.52E-01
1.00E+06	1.47E-06	1.00E+00	1.54E-02
1.33E+06	2.76E-08	1.33E+00	9.49E-03
1.34E+06	6.27E-07	1.34E+00	1.35E-02
1.50E+06	2.98E-07	1.50E+00	6.42E-03
1.66E+06	9.14E-07	1.66E+00	9.26E-03
2.00E+06	9.01E-07	2.00E+00	6.20E-03
2.50E+06	7.42E-07	2.50E+00	5.11E-03
3.00E+06	3.86E-07	3.00E+00	2.66E-03
3.50E+06	3.32E-07	3.50E+00	2.28E-03
4.00E+06	1.37E-07	4.00E+00	9.45E-04
4.50E+06	9.49E-08	4.50E+00	6.53E-04
5.00E+06	7.29E-08	5.00E+00	5.02E-04
5.50E+06	5.90E-08	5.50E+00	4.06E-04
6.00E+06	4.73E-08	6.00E+00	3.26E-04
6.50E+06	4.02E-08	6.50E+00	2.77E-04
7.00E+06	4.42E-08	7.00E+00	3.04E-04
7.50E+06	6.54E-08	7.50E+00	4.50E-04
8.00E+06	5.93E-08	8.00E+00	1.02E-04
1.00E+07	3.55E-09	1.00E+01	6.10E-06
1.20E+07	1.51E-10	1.20E+01	2.60E-07
1.40E+07	3.25E-11	1.40E+01	1.87E-08
2.00E+07	2.97E-13	2.00E+01	1.02E-10
3.00E+07	0.00E+00	3.00E+01	0.00E+00
5.00E+07	0	5.00E+01	
