#     si4        sp4
      h          d            $ Histogram: energy upper boundaries Ei [MeV] and bin (integral) probabilities in bins [Ei-1 - Ei]; Area = 1. 
c     Eup, MeV   Yield, n/bin
      0.         0.
      0.500      1.982E-01
      1.000      6.098E-01
      1.500      1.387E-01
      2.000      5.335E-02
      2.500      0.000E+00
      3.000      0.000E+00
      3.500      0.000E+00
      4.000      0.000E+00
      4.500      0.000E+00
      5.000      0.000E+00
      5.500      0.000E+00
      6.000      0.000E+00
      6.500      0.000E+00
