energy	Flux	dFi	Fi/dE [MeV]
1.00E-02	5.51E-06	5.82E-02	1.38E-04
5.00E-02	6.28E-05	1.75E-02	1.26E-03
1.00E-01	1.06E-03	4.40E-03	5.28E-02
1.20E-01	1.29E-03	3.90E-03	6.47E-02
1.40E-01	1.84E-03	3.30E-03	9.20E-02
1.60E-01	2.24E-03	3.00E-03	1.12E-01
1.80E-01	2.50E-03	2.80E-03	1.25E-01
2.00E-01	2.68E-03	2.70E-03	1.34E-01
2.20E-01	2.78E-03	2.70E-03	1.39E-01
2.40E-01	2.80E-03	2.60E-03	1.40E-01
2.60E-01	2.75E-03	2.70E-03	1.37E-01
2.80E-01	2.66E-03	2.70E-03	1.33E-01
3.00E-01	2.59E-03	2.70E-03	1.29E-01
3.20E-01	2.49E-03	2.80E-03	1.25E-01
3.40E-01	2.41E-03	2.80E-03	1.21E-01
3.60E-01	2.32E-03	2.90E-03	1.16E-01
3.80E-01	2.25E-03	2.90E-03	1.12E-01
4.00E-01	2.13E-03	3.00E-03	1.06E-01
4.20E-01	2.03E-03	3.00E-03	1.02E-01
4.40E-01	1.95E-03	3.10E-03	9.75E-02
4.60E-01	1.92E-03	3.10E-03	9.61E-02
4.80E-01	1.89E-03	3.10E-03	9.46E-02
5.00E-01	1.87E-03	3.20E-03	7.49E-02
5.25E-01	2.28E-03	2.90E-03	9.11E-02
5.50E-01	2.17E-03	2.90E-03	8.67E-02
5.75E-01	2.03E-03	3.00E-03	8.13E-02
6.00E-01	1.92E-03	3.10E-03	7.69E-02
6.25E-01	1.86E-03	3.10E-03	7.42E-02
6.50E-01	1.83E-03	3.10E-03	7.30E-02
6.75E-01	1.79E-03	3.20E-03	7.17E-02
7.00E-01	1.79E-03	3.20E-03	7.17E-02
7.25E-01	1.82E-03	3.10E-03	7.29E-02
7.50E-01	2.02E-03	3.00E-03	8.08E-02
7.75E-01	2.57E-03	2.70E-03	1.03E-01
8.00E-01	3.53E-03	2.30E-03	1.41E-01
8.25E-01	4.68E-03	2.00E-03	1.87E-01
8.50E-01	5.30E-03	1.90E-03	2.12E-01
8.75E-01	4.89E-03	2.00E-03	1.96E-01
9.00E-01	3.61E-03	2.30E-03	1.45E-01
9.25E-01	2.15E-03	2.90E-03	8.61E-02
9.50E-01	1.13E-03	4.00E-03	4.51E-02
9.75E-01	6.10E-04	5.50E-03	2.44E-02
1.00E+00	4.27E-04	6.50E-03	8.54E-03
1.05E+00	7.42E-04	4.90E-03	1.48E-02
1.10E+00	7.04E-04	5.00E-03	1.41E-02
1.15E+00	7.21E-04	5.00E-03	1.44E-02
1.20E+00	8.56E-04	4.60E-03	1.71E-02
1.25E+00	9.82E-04	4.30E-03	1.96E-02
1.30E+00	8.85E-04	4.50E-03	1.77E-02
1.35E+00	7.22E-04	5.00E-03	1.44E-02
1.40E+00	7.16E-04	5.00E-03	1.43E-02
1.45E+00	6.78E-04	5.10E-03	1.36E-02
1.50E+00	5.15E-04	5.80E-03	1.03E-02
1.55E+00	3.83E-04	6.70E-03	7.67E-03
1.60E+00	3.41E-04	7.10E-03	6.81E-03
1.65E+00	3.37E-04	7.20E-03	6.74E-03
1.70E+00	3.79E-04	6.80E-03	7.59E-03
1.75E+00	4.93E-04	6.00E-03	9.86E-03
1.80E+00	6.21E-04	5.30E-03	1.24E-02
1.85E+00	6.33E-04	5.30E-03	1.27E-02
1.90E+00	4.77E-04	6.10E-03	9.55E-03
1.95E+00	3.38E-04	7.20E-03	6.76E-03
2.00E+00	3.02E-04	7.60E-03	3.02E-03
2.10E+00	8.02E-04	4.70E-03	8.02E-03
2.20E+00	8.31E-04	4.60E-03	8.31E-03
