e-low_eV	e-high_eV	Fi/dU		e-low_MeV    Fi/dE	integral
1.00E+03	1.00E+04	3.64E-10	0.001	2.42E-10	8.38E-10
1.00E+04	2.00E+04	3.10E-08	0.010	5.60E-09	2.15E-08
2.00E+04	3.00E+04	1.89E-08	0.020	1.99E-09	7.65E-09
3.00E+04	4.50E+04	2.09E-07	0.030	1.47E-08	8.48E-08
4.50E+04	6.00E+04	4.07E-06	0.045	2.03E-07	1.17E-06
6.00E+04	7.00E+04	4.07E-05	0.060	1.63E-06	6.27E-06
7.00E+04	7.50E+04	1.45E-04	0.070	5.23E-06	1.00E-05
7.50E+04	1.00E+05	7.86E-04	0.075	2.36E-05	2.26E-04
1.00E+05	1.50E+05	4.48E-03	0.100	9.47E-05	1.82E-03
1.50E+05	2.00E+05	1.12E-02	0.150	1.68E-04	3.22E-03
2.00E+05	3.00E+05	1.76E-02	0.200	1.86E-04	7.14E-03
3.00E+05	4.00E+05	2.12E-02	0.300	1.59E-04	6.10E-03
4.00E+05	4.50E+05	2.18E-02	0.400	1.34E-04	2.57E-03
4.50E+05	5.10E+05	2.26E-02	0.450	1.23E-04	2.83E-03
5.10E+05	5.12E+05	1.33E-01	0.510	6.78E-04	5.21E-04
5.12E+05	6.00E+05	2.27E-02	0.512	1.07E-04	3.61E-03
6.00E+05	7.00E+05	2.46E-02	0.600	9.89E-05	3.80E-03
7.00E+05	8.00E+05	2.65E-02	0.700	9.21E-05	3.54E-03
8.00E+05	1.00E+06	6.97E-02	0.800	2.03E-04	1.56E-02
1.00E+06	1.33E+06	9.70E-03	1.000	2.18E-05	2.77E-03
1.33E+06	1.34E+06	7.00E-03	1.330	1.37E-05	5.24E-05
1.34E+06	1.50E+06	1.02E-02	1.340	1.87E-05	1.15E-03
1.50E+06	1.66E+06	5.59E-03	1.500	9.23E-06	5.67E-04
1.66E+06	2.00E+06	9.20E-03	1.660	1.31E-05	1.71E-03
2.00E+06	2.50E+06	7.60E-03	2.000	8.84E-06	1.70E-03
2.50E+06	3.00E+06	7.80E-03	2.500	7.41E-06	1.42E-03
3.00E+06	3.50E+06	4.84E-03	3.000	3.89E-06	7.46E-04
3.50E+06	4.00E+06	4.83E-03	3.500	3.36E-06	6.45E-04
4.00E+06	4.50E+06	2.27E-03	4.000	1.39E-06	2.68E-04
4.50E+06	5.00E+06	1.73E-03	4.500	9.51E-07	1.82E-04
5.00E+06	5.50E+06	1.44E-03	5.000	7.16E-07	1.37E-04
5.50E+06	6.00E+06	1.24E-03	5.500	5.64E-07	1.08E-04
6.00E+06	6.50E+06	1.07E-03	6.000	4.44E-07	8.53E-05
6.50E+06	7.00E+06	9.62E-04	6.500	3.72E-07	7.13E-05
7.00E+06	7.50E+06	1.12E-03	7.000	4.01E-07	7.70E-05
7.50E+06	8.00E+06	1.74E-03	7.500	5.87E-07	1.13E-04
8.00E+06	1.00E+07	4.61E-04	8.000	1.34E-07	1.03E-04
1.00E+07	1.20E+07	3.43E-05	10.000	8.15E-09	6.25E-06
1.20E+07	1.40E+07	1.94E-06	12.000	3.89E-10	2.99E-07
1.40E+07	2.00E+07	2.16E-07	14.000	3.35E-11	7.71E-08
2.00E+07	3.00E+07	2.13E-09	20.000	2.25E-13	8.64E-10
