,energy low [eV],energy high [eV],particle,cell,nuclide,score,mean,std. dev.
0,1000.0,10000.0,photon,52,total,flux,4.342344816734176e-06,1.2131061329825697e-06
1,10000.0,20000.0,photon,52,total,flux,4.048292558379847e-06,1.5112288725514637e-06
2,20000.0,30000.0,photon,52,total,flux,5.827254388358226e-06,2.016807666409342e-06
3,30000.0,45000.0,photon,52,total,flux,1.7425604184488488e-05,3.334407747361456e-06
4,45000.0,60000.0,photon,52,total,flux,2.9979518823053132e-05,4.467346413154422e-06
5,60000.0,70000.0,photon,52,total,flux,3.710881715686595e-05,4.378558883791123e-06
6,70000.0,75000.0,photon,52,total,flux,3.085920405670294e-05,4.881387396123515e-06
7,75000.0,100000.0,photon,52,total,flux,0.0004813723936102395,2.177412957329126e-05
8,100000.0,150000.0,photon,52,total,flux,0.003947195773123127,3.946366064069176e-05
9,150000.0,200000.0,photon,52,total,flux,0.006156409206495421,5.722403078459742e-05
10,200000.0,300000.0,photon,52,total,flux,0.013071257976925136,9.561659663796294e-05
11,300000.0,400000.0,photon,52,total,flux,0.010980324312814281,0.00011074383582760992
12,400000.0,450000.0,photon,52,total,flux,0.004720830758039971,5.293330214099086e-05
13,450000.0,510000.0,photon,52,total,flux,0.005216661921426125,7.120399600804426e-05
14,510000.0,512000.0,photon,52,total,flux,0.0010657159266127612,2.4706729242230004e-05
15,512000.0,600000.0,photon,52,total,flux,0.006415162702261615,7.151398446728198e-05
16,600000.0,700000.0,photon,52,total,flux,0.00666896078167562,6.863228441499292e-05
17,700000.0,800000.0,photon,52,total,flux,0.005945429823243914,7.351027522447044e-05
18,800000.0,1000000.0,photon,52,total,flux,0.023262149117264423,0.00012155701900091635
19,1000000.0,1330000.0,photon,52,total,flux,0.00725162675029635,8.140879851352691e-05
20,1330000.0,1340000.0,photon,52,total,flux,0.00011523006635819869,1.4353071241927101e-05
21,1340000.0,1500000.0,photon,52,total,flux,0.002370346387501675,4.521313855120799e-05
22,1500000.0,1660000.0,photon,52,total,flux,0.001307935882372442,2.488855433245452e-05
23,1660000.0,2000000.0,photon,52,total,flux,0.004006714336583122,5.420495684971017e-05
24,2000000.0,2500000.0,photon,52,total,flux,0.004250657090603413,4.7121658728172065e-05
25,2500000.0,3000000.0,photon,52,total,flux,0.0032346765236382627,7.471239869332369e-05
