,energy low [eV],energy high [eV],particle,cell,nuclide,score,mean,std. dev.
0,1e-05,0.1,neutron,70,total,flux,0.0,0.0
1,0.1,0.414,neutron,70,total,flux,0.0,0.0
2,0.414,0.532,neutron,70,total,flux,0.0,0.0
3,0.532,0.683,neutron,70,total,flux,0.0,0.0
4,0.683,0.876,neutron,70,total,flux,0.0,0.0
5,0.876,1.12,neutron,70,total,flux,0.0,0.0
6,1.12,1.44,neutron,70,total,flux,0.0,0.0
7,1.44,1.86,neutron,70,total,flux,0.0,0.0
8,1.86,2.38,neutron,70,total,flux,0.0,0.0
9,2.38,3.06,neutron,70,total,flux,0.0,0.0
10,3.06,3.93,neutron,70,total,flux,0.0,0.0
11,3.93,5.04,neutron,70,total,flux,0.0,0.0
12,5.04,6.48,neutron,70,total,flux,0.0,0.0
13,6.48,8.32,neutron,70,total,flux,0.0,0.0
14,8.32,10.7,neutron,70,total,flux,0.0,0.0
15,10.7,13.7,neutron,70,total,flux,0.0,0.0
16,13.7,17.6,neutron,70,total,flux,0.0,0.0
17,17.6,22.6,neutron,70,total,flux,0.0,0.0
18,22.6,29.0,neutron,70,total,flux,0.0,0.0
19,29.0,37.3,neutron,70,total,flux,0.0,0.0
20,37.3,47.9,neutron,70,total,flux,0.0,0.0
21,47.9,61.4,neutron,70,total,flux,0.0,0.0
22,61.4,78.9,neutron,70,total,flux,0.0,0.0
23,78.9,101.0,neutron,70,total,flux,0.0,0.0
24,101.0,130.0,neutron,70,total,flux,0.0,0.0
25,130.0,167.0,neutron,70,total,flux,0.0,0.0
26,167.0,214.0,neutron,70,total,flux,0.0,0.0
27,214.0,275.0,neutron,70,total,flux,0.0,0.0
28,275.0,354.0,neutron,70,total,flux,0.0,0.0
29,354.0,454.0,neutron,70,total,flux,0.0,0.0
30,454.0,583.0,neutron,70,total,flux,0.0,0.0
31,583.0,749.0,neutron,70,total,flux,0.0,0.0
32,749.0,961.0,neutron,70,total,flux,0.0,0.0
33,961.0,1230.0,neutron,70,total,flux,0.0,0.0
34,1230.0,1580.0,neutron,70,total,flux,0.0,0.0
35,1580.0,2030.0,neutron,70,total,flux,0.0,0.0
36,2030.0,2250.0,neutron,70,total,flux,0.0,0.0
37,2250.0,2490.0,neutron,70,total,flux,0.0,0.0
38,2490.0,2610.0,neutron,70,total,flux,0.0,0.0
39,2610.0,2750.0,neutron,70,total,flux,0.0,0.0
40,2750.0,3040.0,neutron,70,total,flux,0.0,0.0
41,3040.0,3350.0,neutron,70,total,flux,0.0,0.0
42,3350.0,3710.0,neutron,70,total,flux,0.0,0.0
43,3710.0,4310.0,neutron,70,total,flux,0.0,0.0
44,4310.0,5530.0,neutron,70,total,flux,1.5921627326423795e-06,1.5921627326423793e-06
45,5530.0,7100.0,neutron,70,total,flux,0.0,0.0
46,7100.0,9120.0,neutron,70,total,flux,0.0,0.0
47,9120.0,10600.0,neutron,70,total,flux,0.0,0.0
48,10600.0,11700.0,neutron,70,total,flux,0.0,0.0
49,11700.0,15000.0,neutron,70,total,flux,0.0,0.0
50,15000.0,19300.0,neutron,70,total,flux,0.0,0.0
51,19300.0,21900.0,neutron,70,total,flux,0.0,0.0
52,21900.0,23600.0,neutron,70,total,flux,0.0,0.0
53,23600.0,24200.0,neutron,70,total,flux,0.0,0.0
54,24200.0,24800.0,neutron,70,total,flux,5.660836972990297e-07,5.660836972990296e-07
55,24800.0,26100.0,neutron,70,total,flux,2.0887964851623907e-06,2.088796485162391e-06
56,26100.0,27000.0,neutron,70,total,flux,0.0,0.0
57,27000.0,28500.0,neutron,70,total,flux,0.0,0.0
58,28500.0,31800.0,neutron,70,total,flux,0.0,0.0
59,31800.0,34300.0,neutron,70,total,flux,0.0,0.0
60,34300.0,40900.0,neutron,70,total,flux,0.0,0.0
61,40900.0,46300.0,neutron,70,total,flux,0.0,0.0
62,46300.0,52500.0,neutron,70,total,flux,0.0,0.0
63,52500.0,56600.0,neutron,70,total,flux,0.0,0.0
64,56600.0,67400.0,neutron,70,total,flux,4.724256509958333e-06,2.6257029238289143e-06
65,67400.0,72000.0,neutron,70,total,flux,2.260404986091827e-06,2.260404986091827e-06
66,72000.0,79500.0,neutron,70,total,flux,3.395277375201342e-06,3.395277375201342e-06
67,79500.0,82500.0,neutron,70,total,flux,2.011767292812202e-06,2.011767292812202e-06
68,82500.0,86500.0,neutron,70,total,flux,0.0,0.0
69,86500.0,98000.0,neutron,70,total,flux,8.377053315546576e-07,5.933826078802741e-07
70,98000.0,111000.0,neutron,70,total,flux,2.591614760135791e-06,2.0080997740398666e-06
71,111000.0,117000.0,neutron,70,total,flux,1.1403135993440046e-06,1.1403135993440046e-06
72,117000.0,123000.0,neutron,70,total,flux,1.1224779697585712e-06,1.029676568381532e-06
73,123000.0,129000.0,neutron,70,total,flux,5.3262089561003885e-06,4.10724677440433e-06
74,129000.0,136000.0,neutron,70,total,flux,5.982084495119251e-06,4.0737654816484566e-06
75,136000.0,143000.0,neutron,70,total,flux,1.5179564041031889e-06,1.517956404103189e-06
76,143000.0,150000.0,neutron,70,total,flux,0.0,0.0
77,150000.0,158000.0,neutron,70,total,flux,3.261687926375628e-06,2.2670941147831704e-06
78,158000.0,166000.0,neutron,70,total,flux,6.771503750559941e-06,3.4921377057558637e-06
79,166000.0,174000.0,neutron,70,total,flux,4.850418944230771e-06,2.7293647686034574e-06
80,174000.0,183000.0,neutron,70,total,flux,4.39393134370626e-06,1.9589525958748164e-06
81,183000.0,193000.0,neutron,70,total,flux,2.8007916745590367e-06,1.923994319208595e-06
82,193000.0,202000.0,neutron,70,total,flux,2.028703585843502e-06,2.028703585843502e-06
83,202000.0,213000.0,neutron,70,total,flux,2.798383685738719e-06,2.3310783871800835e-06
84,213000.0,224000.0,neutron,70,total,flux,7.807783645992766e-06,2.3487388277637272e-06
85,224000.0,235000.0,neutron,70,total,flux,1.6591616167872123e-06,1.6591616167872123e-06
86,235000.0,247000.0,neutron,70,total,flux,6.333494685037153e-06,3.909279869400219e-06
87,247000.0,273000.0,neutron,70,total,flux,1.860440267870472e-05,6.122354932751654e-06
88,273000.0,287000.0,neutron,70,total,flux,8.326425347302696e-06,4.5371747510454475e-06
89,287000.0,295000.0,neutron,70,total,flux,4.336758487016011e-06,2.4115904541293223e-06
90,295000.0,297000.0,neutron,70,total,flux,0.0,0.0
91,297000.0,298000.0,neutron,70,total,flux,0.0,0.0
92,298000.0,302000.0,neutron,70,total,flux,0.0,0.0
93,302000.0,334000.0,neutron,70,total,flux,2.1397623682678794e-05,6.299877191072845e-06
94,334000.0,369000.0,neutron,70,total,flux,2.2210920234122084e-05,3.727133024151798e-06
95,369000.0,388000.0,neutron,70,total,flux,1.2268736886892897e-05,3.4021211350468444e-06
96,388000.0,408000.0,neutron,70,total,flux,9.584860890030826e-06,3.749703787613226e-06
97,408000.0,450000.0,neutron,70,total,flux,1.5165187979733114e-05,5.396802936044451e-06
98,450000.0,498000.0,neutron,70,total,flux,1.495735223626796e-05,5.4159664893500484e-06
99,498000.0,523000.0,neutron,70,total,flux,8.316267904145873e-06,3.1402437743623507e-06
100,523000.0,550000.0,neutron,70,total,flux,1.1571446422829144e-05,5.9205106502033665e-06
101,550000.0,578000.0,neutron,70,total,flux,6.826216021826187e-06,2.863978278188457e-06
102,578000.0,608000.0,neutron,70,total,flux,9.575280048387772e-06,4.274077316072262e-06
103,608000.0,639000.0,neutron,70,total,flux,1.2547250838869204e-05,4.355394435571483e-06
104,639000.0,672000.0,neutron,70,total,flux,2.3281132935888144e-05,8.46026459110777e-06
105,672000.0,707000.0,neutron,70,total,flux,7.535290581124477e-06,3.0276413299720723e-06
106,707000.0,743000.0,neutron,70,total,flux,8.092186041769753e-06,2.9571058430070343e-06
107,743000.0,781000.0,neutron,70,total,flux,1.3228624658738492e-05,4.451992605648726e-06
108,781000.0,821000.0,neutron,70,total,flux,4.821521844754693e-06,2.5657802953947972e-06
109,821000.0,863000.0,neutron,70,total,flux,1.336154375614831e-05,4.020736607430228e-06
110,863000.0,907000.0,neutron,70,total,flux,8.525607117149865e-06,3.476323646599598e-06
111,907000.0,962000.0,neutron,70,total,flux,1.7117855316375152e-05,5.61208631830239e-06
112,962000.0,1000000.0,neutron,70,total,flux,4.584364924616777e-06,2.7012968796406217e-06
113,1000000.0,1110000.0,neutron,70,total,flux,4.791759748609753e-05,1.1605001796957614e-05
114,1110000.0,1160000.0,neutron,70,total,flux,2.803074980482704e-05,6.803843846161673e-06
115,1160000.0,1220000.0,neutron,70,total,flux,2.4988897649748907e-05,5.82079218295431e-06
116,1220000.0,1290000.0,neutron,70,total,flux,1.4215630663260508e-05,4.645085668087607e-06
117,1290000.0,1350000.0,neutron,70,total,flux,1.1127224331738149e-06,1.1127224331738149e-06
118,1350000.0,1420000.0,neutron,70,total,flux,4.903812126521369e-06,2.6738733876710174e-06
119,1420000.0,1500000.0,neutron,70,total,flux,1.2399019840894946e-05,4.822029566560028e-06
120,1500000.0,1570000.0,neutron,70,total,flux,3.949963279241228e-06,2.5326970094965823e-06
121,1570000.0,1650000.0,neutron,70,total,flux,8.269641966810013e-06,3.2941464630845907e-06
122,1650000.0,1740000.0,neutron,70,total,flux,6.182124073245043e-06,3.148354825461522e-06
123,1740000.0,1830000.0,neutron,70,total,flux,7.732528010242604e-06,3.061914453909071e-06
124,1830000.0,1920000.0,neutron,70,total,flux,1.2966441128028073e-05,3.831293361337769e-06
125,1920000.0,2020000.0,neutron,70,total,flux,8.640945876507719e-06,3.661923866600174e-06
126,2020000.0,2120000.0,neutron,70,total,flux,9.73031486899337e-06,2.9298790786714767e-06
127,2120000.0,2230000.0,neutron,70,total,flux,6.826144027411051e-06,4.140829433026742e-06
