,energy low [eV],energy high [eV],particle,cell,nuclide,score,mean,std. dev.
0,10000.0,50000.0,photon,52,total,flux,2.7005443751742857e-05,1.578564427489329e-06
1,50000.0,100000.0,photon,52,total,flux,0.0005116469603835543,8.213193450470458e-06
2,100000.0,120000.0,photon,52,total,flux,0.0010107310783268766,1.1528561140352389e-05
3,120000.0,140000.0,photon,52,total,flux,0.0016394760020642593,1.4906504149855026e-05
4,140000.0,160000.0,photon,52,total,flux,0.001937424225294358,1.2590828157871422e-05
5,160000.0,180000.0,photon,52,total,flux,0.0021924906741884543,1.8128471882234652e-05
6,180000.0,200000.0,photon,52,total,flux,0.0023358302338994676,1.1758576915943132e-05
7,200000.0,220000.0,photon,52,total,flux,0.0025358707524367366,9.791206402912103e-06
8,220000.0,240000.0,photon,52,total,flux,0.0024684328048892082,1.2409021754749743e-05
9,240000.0,260000.0,photon,52,total,flux,0.0023960998499810266,1.31048948695906e-05
10,260000.0,280000.0,photon,52,total,flux,0.0023093849759210023,8.616378036252308e-06
11,280000.0,300000.0,photon,52,total,flux,0.0022145917358948873,9.4700020397185e-06
12,300000.0,320000.0,photon,52,total,flux,0.0021321360356778957,1.1022837707184513e-05
13,320000.0,340000.0,photon,52,total,flux,0.002035024182457824,8.080626504944708e-06
14,340000.0,360000.0,photon,52,total,flux,0.0020543687373261272,1.1414180325065477e-05
15,360000.0,380000.0,photon,52,total,flux,0.0019275428960959062,1.4718993894693428e-05
16,380000.0,400000.0,photon,52,total,flux,0.0018044856336478132,1.1879571852948715e-05
17,400000.0,420000.0,photon,52,total,flux,0.001764408394003103,1.3035530100439252e-05
18,420000.0,440000.0,photon,52,total,flux,0.0016952159524408835,1.2591547209785405e-05
19,440000.0,460000.0,photon,52,total,flux,0.0016396071385837991,1.587599558663934e-05
20,460000.0,480000.0,photon,52,total,flux,0.0015733747524976824,1.1567841672126461e-05
21,480000.0,500000.0,photon,52,total,flux,0.0015577335889449193,1.110514375951689e-05
