,energy low [eV],energy high [eV],particle,cell,nuclide,score,mean,std. dev.
0,1000.0,10000.0,photon,52,total,flux,5.639742825974191e-06,4.3067809753814636e-07
1,10000.0,20000.0,photon,52,total,flux,2.8959695061117575e-06,5.058743967503421e-07
2,20000.0,30000.0,photon,52,total,flux,2.9086025559797842e-06,3.8009566768030836e-07
3,30000.0,45000.0,photon,52,total,flux,1.3967741397424444e-05,1.1048310256210812e-06
4,45000.0,60000.0,photon,52,total,flux,2.4435944783961283e-05,1.4015296346925494e-06
5,60000.0,70000.0,photon,52,total,flux,3.112876793624316e-05,1.5553388988622849e-06
6,70000.0,75000.0,photon,52,total,flux,2.595257595778945e-05,1.1996240888262515e-06
7,75000.0,100000.0,photon,52,total,flux,0.0004373628019977871,6.195880650856187e-06
8,100000.0,150000.0,photon,52,total,flux,0.0035872237679168313,1.6240193411910704e-05
9,150000.0,200000.0,photon,52,total,flux,0.005528728445856583,2.011212462548136e-05
10,200000.0,300000.0,photon,52,total,flux,0.011924380119122854,1.675543408015832e-05
11,300000.0,400000.0,photon,52,total,flux,0.009953557485205586,2.1836234911777536e-05
12,400000.0,450000.0,photon,52,total,flux,0.004282230246957443,1.2115724393585789e-05
13,450000.0,510000.0,photon,52,total,flux,0.004708837734124541,1.9601982344954636e-05
14,510000.0,512000.0,photon,52,total,flux,0.0008965020218825758,8.894374822272199e-06
15,512000.0,600000.0,photon,52,total,flux,0.006005349659959636,2.0280513026204383e-05
16,600000.0,700000.0,photon,52,total,flux,0.006203436135680324,2.3814377465463504e-05
17,700000.0,800000.0,photon,52,total,flux,0.005628195518802542,2.106932093717098e-05
18,800000.0,1000000.0,photon,52,total,flux,0.021947657579757036,3.812690687824747e-05
19,1000000.0,1330000.0,photon,52,total,flux,0.006083753177145973,1.4046027970165098e-05
20,1330000.0,1340000.0,photon,52,total,flux,0.00010983757007785204,2.6916577178143458e-06
21,1340000.0,1500000.0,photon,52,total,flux,0.0020550655249988842,7.93954660113213e-06
22,1500000.0,1660000.0,photon,52,total,flux,0.0010861762000701728,6.291475729077319e-06
23,1660000.0,2000000.0,photon,52,total,flux,0.0033724391783922503,1.142406646544554e-05
24,2000000.0,2500000.0,photon,52,total,flux,0.0035933225252267253,1.2876165019417845e-05
25,2500000.0,3000000.0,photon,52,total,flux,0.002547997953861041,1.0259692314574709e-05
26,3000000.0,3500000.0,photon,52,total,flux,0.0014497752048951453,8.847545812345746e-06
27,3500000.0,4000000.0,photon,52,total,flux,0.0011640259099501037,8.110688935824368e-06
28,4000000.0,4500000.0,photon,52,total,flux,0.0005030812453344598,4.215418461081418e-06
29,4500000.0,5000000.0,photon,52,total,flux,0.00037411203396970087,6.738523765593493e-06
30,5000000.0,5500000.0,photon,52,total,flux,0.0002475930610467053,3.837537960121152e-06
31,5500000.0,6000000.0,photon,52,total,flux,0.00015990912532651044,3.985900271646407e-06
32,6000000.0,6500000.0,photon,52,total,flux,0.00012937720974318557,2.3907627528938023e-06
33,6500000.0,7000000.0,photon,52,total,flux,8.551245123221987e-05,2.6893801742860616e-06
34,7000000.0,7500000.0,photon,52,total,flux,5.1771554315590725e-05,1.041193958622946e-06
35,7500000.0,8000000.0,photon,52,total,flux,0.00010754283125789216,3.429847500101059e-06
36,8000000.0,10000000.0,photon,52,total,flux,0.00015633183526707347,4.161623804458422e-06
37,10000000.0,12000000.0,photon,52,total,flux,5.213488200847681e-06,4.476399606008758e-07
38,12000000.0,14000000.0,photon,52,total,flux,3.6099485406463426e-07,1.016030453268173e-07
39,14000000.0,20000000.0,photon,52,total,flux,1.5495345654278995e-07,7.89874499633597e-08
40,20000000.0,30000000.0,photon,52,total,flux,0.0,0.0
41,30000000.0,50000000.0,photon,52,total,flux,0.0,0.0
