,energy low [eV],energy high [eV],particle,cell,nuclide,score,mean,std. dev.
0,1000.0,10000.0,photon,52,total,flux,5.446047512983097e-06,2.688862536941435e-07
1,10000.0,20000.0,photon,52,total,flux,2.636045477609854e-06,3.274755613297747e-07
2,20000.0,30000.0,photon,52,total,flux,5.698367728903028e-06,3.200937943374665e-07
3,30000.0,45000.0,photon,52,total,flux,1.5261882052717692e-05,5.783950691331268e-07
4,45000.0,60000.0,photon,52,total,flux,3.0420876665914074e-05,1.472840039820291e-06
5,60000.0,70000.0,photon,52,total,flux,3.69488983801744e-05,1.9111506467850135e-06
6,70000.0,75000.0,photon,52,total,flux,2.9845869158647503e-05,1.414359479458421e-06
7,75000.0,100000.0,photon,52,total,flux,0.0004820566148566011,6.022855097476741e-06
8,100000.0,150000.0,photon,52,total,flux,0.0039115766621403755,1.798554031916073e-05
9,150000.0,200000.0,photon,52,total,flux,0.006084472102153395,2.4142355757669787e-05
10,200000.0,300000.0,photon,52,total,flux,0.012990588352835874,2.5351771179460814e-05
11,300000.0,400000.0,photon,52,total,flux,0.010882106898485028,3.291172658133864e-05
12,400000.0,450000.0,photon,52,total,flux,0.004671946017993122,1.856871088172539e-05
13,450000.0,510000.0,photon,52,total,flux,0.005132573577780403,1.9725019373711892e-05
14,510000.0,512000.0,photon,52,total,flux,0.0010856042536426564,1.5231871074114695e-05
15,512000.0,600000.0,photon,52,total,flux,0.006473994793568865,1.963984876893025e-05
16,600000.0,700000.0,photon,52,total,flux,0.006671559053368917,1.9816744567963685e-05
17,700000.0,800000.0,photon,52,total,flux,0.006106950287676124,2.0112058938499602e-05
18,800000.0,1000000.0,photon,52,total,flux,0.023179775733595427,4.700330839367927e-05
19,1000000.0,1330000.0,photon,52,total,flux,0.007263531357711061,1.6694499725076156e-05
20,1330000.0,1340000.0,photon,52,total,flux,0.0001317235073052077,3.232856077228409e-06
21,1340000.0,1500000.0,photon,52,total,flux,0.002329011213617403,1.111568595710164e-05
22,1500000.0,1660000.0,photon,52,total,flux,0.0012962840416411536,5.249594511007083e-06
23,1660000.0,2000000.0,photon,52,total,flux,0.0039185104800714375,2.33944578809259e-05
24,2000000.0,2500000.0,photon,52,total,flux,0.004235835516767326,1.3713236510126852e-05
25,2500000.0,3000000.0,photon,52,total,flux,0.0031971954437362226,1.816773614873005e-05
