,energy low [eV],energy high [eV],particle,cell,nuclide,score,mean,std. dev.
0,1.00001e-05,0.100001,neutron,51,total,flux,0.0,0.0
1,0.100001,0.413994,neutron,51,total,flux,1.5380665875301814e-07,1.5380665875301814e-07
2,0.413994,0.531579,neutron,51,total,flux,0.0,0.0
3,0.531579,0.68256,neutron,51,total,flux,3.173213220384092e-07,3.1732132203840915e-07
4,0.68256,0.876425,neutron,51,total,flux,0.0,0.0
5,0.876425,1.123,neutron,51,total,flux,4.493866023735368e-07,2.3036571888366812e-07
6,1.123,1.44,neutron,51,total,flux,1.2325837815972588e-06,5.584064665755295e-07
7,1.44,1.85539,neutron,51,total,flux,4.6683945393881187e-07,3.320167139310077e-07
8,1.85539,2.38237,neutron,51,total,flux,2.348964386846663e-06,7.944500051806496e-07
9,2.38237,3.05902,neutron,51,total,flux,2.1497032452267682e-06,8.067790674179282e-07
10,3.05902,3.92786,neutron,51,total,flux,4.197660794803142e-06,7.683133033763358e-07
11,3.92786,5.04348,neutron,51,total,flux,5.669973315118425e-06,9.567004812984798e-07
12,5.04348,6.47595,neutron,51,total,flux,5.500595329715838e-06,1.2005299370106123e-06
13,6.47595,8.31529,neutron,51,total,flux,6.849361479070905e-06,1.1273918196251879e-06
14,8.31529,10.677,neutron,51,total,flux,5.831823867305119e-06,9.197353818133081e-07
15,10.677,13.7096,neutron,51,total,flux,1.0382510759957725e-05,1.5345177600761492e-06
16,13.7096,17.6035,neutron,51,total,flux,1.0792258379251267e-05,1.5762905358899707e-06
17,17.6035,22.6033,neutron,51,total,flux,1.430917195730153e-05,1.1823785197379408e-06
18,22.6033,29.0232,neutron,51,total,flux,1.2359095967205414e-05,2.1082359237184592e-06
19,29.0232,37.2665,neutron,51,total,flux,1.8728558939783276e-05,1.9866831826250584e-06
20,37.2665,47.8512,neutron,51,total,flux,2.008674661420448e-05,1.4639058638624022e-06
21,47.8512,61.4421,neutron,51,total,flux,2.4349229223938537e-05,2.524010380620945e-06
22,61.4421,78.8932,neutron,51,total,flux,3.0009034951916453e-05,2.367868978588005e-06
23,78.8932,101.301,neutron,51,total,flux,3.1501165325703426e-05,2.415373075471349e-06
24,101.301,130.073,neutron,51,total,flux,4.250686365563037e-05,3.32784606645705e-06
25,130.073,167.017,neutron,51,total,flux,4.5946662962163354e-05,3.163467088439832e-06
26,167.017,214.454,neutron,51,total,flux,5.065355640818355e-05,2.33034464951653e-06
27,214.454,275.364,neutron,51,total,flux,5.922856916590211e-05,2.3716764405823442e-06
28,275.364,353.575,neutron,51,total,flux,6.486013811794254e-05,3.709598346631203e-06
29,353.575,453.999,neutron,51,total,flux,8.696357478451796e-05,5.267836709150514e-06
30,453.999,582.947,neutron,51,total,flux,0.00010412290300409973,5.783354002998101e-06
31,582.947,748.518,neutron,51,total,flux,0.00012275303707451926,6.663016405078199e-06
32,748.518,961.117,neutron,51,total,flux,0.0001455908349888912,6.899197321892981e-06
33,961.117,1234.1,neutron,51,total,flux,0.00019334390096525797,7.356191985492287e-06
34,1234.1,1584.61,neutron,51,total,flux,0.0002994009179567049,1.004942340213244e-05
35,1584.61,2034.68,neutron,51,total,flux,0.0003791706440565701,1.247208805419491e-05
36,2034.68,2248.67,neutron,51,total,flux,0.00017893106609659034,6.682752847488157e-06
37,2248.67,2485.17,neutron,51,total,flux,0.00020794552597080095,6.88137244342836e-06
38,2485.17,2612.59,neutron,51,total,flux,0.00011432908204964385,6.945213559035941e-06
39,2612.59,2746.54,neutron,51,total,flux,0.00013180586526127303,4.170786539701877e-06
40,2746.54,3035.39,neutron,51,total,flux,0.0002957611493119794,7.91560393817231e-06
41,3035.39,3354.63,neutron,51,total,flux,0.00032444089451214573,7.525743363818392e-06
42,3354.63,3707.44,neutron,51,total,flux,0.00038105206129603096,8.701760540543898e-06
43,3707.44,4307.42,neutron,51,total,flux,0.0004894155497568639,7.192371575033614e-06
44,4307.42,5530.84,neutron,51,total,flux,0.0012644711297482962,1.0146301535178563e-05
45,5530.84,7101.74,neutron,51,total,flux,0.0007251297469105649,6.7182485293469655e-06
46,7101.74,9118.82,neutron,51,total,flux,0.0002813136874344212,4.969900404872041e-06
47,9118.82,10594.6,neutron,51,total,flux,0.0004497310458908173,1.006446649870552e-05
48,10594.6,11708.8,neutron,51,total,flux,0.0003729054387442416,1.1407604730844842e-05
49,11708.8,15034.4,neutron,51,total,flux,0.0008808787177936037,1.0609559465286482e-05
50,15034.4,19304.5,neutron,51,total,flux,0.0009713013536240807,1.4879862631678926e-05
51,19304.5,21874.9,neutron,51,total,flux,0.0008362938729799191,1.3618245449569822e-05
52,21874.9,23578.6,neutron,51,total,flux,0.0014813291127362242,1.8072299245436813e-05
53,23578.6,24175.5,neutron,51,total,flux,0.0014338107367757335,1.2736959080037291e-05
54,24175.5,24787.5,neutron,51,total,flux,0.0027218017068649067,2.8138236803998767e-05
55,24787.5,26058.4,neutron,51,total,flux,0.005126699442717706,3.602709421700336e-05
56,26058.4,27000.1,neutron,51,total,flux,0.0003934134228184893,7.565317055263478e-06
57,27000.1,28501.1,neutron,51,total,flux,2.7418255950492104e-05,2.1010643480667453e-06
