,energy low [eV],energy high [eV],particle,cell,nuclide,score,mean,std. dev.
0,341820.0,357430.0,photon,52,total,flux,0.0016332928180418048,2.769734008054798e-06
1,357430.0,380540.0,photon,52,total,flux,0.002202067268255497,4.69717852751646e-06
2,380540.0,395770.0,photon,52,total,flux,0.0013855260261801251,3.7715515001311646e-06
3,395770.0,418370.0,photon,52,total,flux,0.001988947215607534,2.2028890158325565e-06
4,418370.0,440720.0,photon,52,total,flux,0.0018939030767960389,3.3598548210498124e-06
5,440720.0,462850.0,photon,52,total,flux,0.0018077000807960552,2.7833821263997048e-06
6,462850.0,492060.0,photon,52,total,flux,0.0022946832229584786,3.5450148363581115e-06
7,492060.0,520960.0,photon,52,total,flux,0.00288380801850967,5.563780959941623e-06
8,520960.0,549600.0,photon,52,total,flux,0.001994841717269372,3.5625973328961516e-06
9,549600.0,578020.0,photon,52,total,flux,0.001910758568068304,4.264218054214981e-06
10,578020.0,613270.0,photon,52,total,flux,0.002283896889112991,1.941397335916564e-06
11,613270.0,648240.0,photon,52,total,flux,0.0021822416902036157,3.076519862984605e-06
12,648240.0,682980.0,photon,52,total,flux,0.002104043231656632,3.193094961884968e-06
13,682980.0,724410.0,photon,52,total,flux,0.0024919548592020747,6.1292684937762395e-06
14,724410.0,772410.0,photon,52,total,flux,0.002710297518933843,4.3757362990982575e-06
15,772410.0,813320.0,photon,52,total,flux,0.002347347283198545,3.4921952612791853e-06
16,813320.0,867580.0,photon,52,total,flux,0.019108129274474715,1.3458242346749931e-05
17,867580.0,921550.0,photon,52,total,flux,0.0009068518864733107,2.901473276512381e-06
18,921550.0,975280.0,photon,52,total,flux,0.0007828513565722583,2.2051702166498645e-06
19,975280.0,1035500.0000000001,photon,52,total,flux,0.0008764221257589924,2.252935543886129e-06
20,1035500.0000000001,1102100.0,photon,52,total,flux,0.0011497775723563882,2.3927090569213154e-06
21,1102100.0,1168500.0,photon,52,total,flux,0.0009017866470849316,1.9342502137261876e-06
22,1168500.0,1247900.0,photon,52,total,flux,0.0026646302248925563,4.459401789487832e-06
23,1247900.0,1327000.0,photon,52,total,flux,0.0008634992799692912,2.505975125177397e-06
24,1327000.0,1412500.0,photon,52,total,flux,0.0015377372919283664,2.528401481096922e-06
25,1412500.0,1504300.0,photon,52,total,flux,0.000679242315026195,2.0856622323566263e-06
26,1504300.0,1602500.0,photon,52,total,flux,0.0006782821668530344,2.107458163709662e-06
27,1602500.0,1707000.0,photon,52,total,flux,0.0006951837429552613,2.7018637371685655e-06
28,1707000.0,1824300.0,photon,52,total,flux,0.0021416868792464494,3.424546196868556e-06
29,1824300.0,1941400.0,photon,52,total,flux,0.000610415199989971,2.1430269012066728e-06
30,1941400.0,2071300.0,photon,52,total,flux,0.0006976279893146298,2.191334511477791e-06
31,2071300.0,2214000.0,photon,52,total,flux,0.0017511007913886597,5.170664756938303e-06
32,2214000.0,2363000.0,photon,52,total,flux,0.0010094504039658266,2.8167951429424332e-06
