,energy low [eV],energy high [eV],particle,cell,nuclide,score,mean,std. dev.
0,341820.0,357430.0,photon,52,total,flux,0.0017693714602733917,3.279750091931073e-06
1,357430.0,380540.0,photon,52,total,flux,0.002403252721223189,4.2749913833671705e-06
2,380540.0,395770.0,photon,52,total,flux,0.0015092369119226352,3.988260211931626e-06
3,395770.0,418370.0,photon,52,total,flux,0.0021618830599179763,4.245413828530753e-06
4,418370.0,440720.0,photon,52,total,flux,0.002059166275103125,3.0094606643640507e-06
5,440720.0,462850.0,photon,52,total,flux,0.0019707117761511446,3.3918738726552877e-06
6,462850.0,492060.0,photon,52,total,flux,0.0025039259562858757,3.8013054749941377e-06
7,492060.0,520960.0,photon,52,total,flux,0.0032623200456766525,7.473656091064134e-06
8,520960.0,549600.0,photon,52,total,flux,0.00216183810270961,4.065447989635674e-06
9,549600.0,578020.0,photon,52,total,flux,0.002069577030315988,3.0416891697534015e-06
10,578020.0,613270.0,photon,52,total,flux,0.0024646572521632684,2.918956311191225e-06
11,613270.0,648240.0,photon,52,total,flux,0.002357706051925457,2.772356135444457e-06
12,648240.0,682980.0,photon,52,total,flux,0.0022775918583132666,2.8044403669239383e-06
13,682980.0,724410.0,photon,52,total,flux,0.0026849606629033764,5.970947606502719e-06
14,724410.0,772410.0,photon,52,total,flux,0.0029335282698238234,5.151456656396822e-06
15,772410.0,813320.0,photon,52,total,flux,0.0025513596400101425,3.108641610815174e-06
16,813320.0,867580.0,photon,52,total,flux,0.01983527427005476,1.594626692848882e-05
17,867580.0,921550.0,photon,52,total,flux,0.001069748172826702,2.2660162952848084e-06
18,921550.0,975280.0,photon,52,total,flux,0.0009287634109643656,2.674023242193463e-06
19,975280.0,1035500.0000000001,photon,52,total,flux,0.0010401548698330157,3.6894080670568e-06
20,1035500.0000000001,1102100.0,photon,52,total,flux,0.0013735422033714514,1.9338190587846154e-06
21,1102100.0,1168500.0,photon,52,total,flux,0.001058359843396186,1.7098979557448365e-06
22,1168500.0,1247900.0,photon,52,total,flux,0.0030979881679203485,4.379636992077347e-06
23,1247900.0,1327000.0,photon,52,total,flux,0.001063159411048562,3.2309877655742905e-06
24,1327000.0,1412500.0,photon,52,total,flux,0.001707062315605157,3.006391047414075e-06
25,1412500.0,1504300.0,photon,52,total,flux,0.0008108413501399514,2.333979926467738e-06
26,1504300.0,1602500.0,photon,52,total,flux,0.0008046061452983781,2.054071554374633e-06
27,1602500.0,1707000.0,photon,52,total,flux,0.0008348928959358065,2.100942989794465e-06
28,1707000.0,1824300.0,photon,52,total,flux,0.002422556288643736,3.3780169750190963e-06
29,1824300.0,1941400.0,photon,52,total,flux,0.0007492031310577044,1.930323915413005e-06
30,1941400.0,2071300.0,photon,52,total,flux,0.000864662884751005,2.5629473176340733e-06
31,2071300.0,2214000.0,photon,52,total,flux,0.0019922164539492673,3.1150970882008333e-06
32,2214000.0,2363000.0,photon,52,total,flux,0.001194159374002572,3.0623214557894905e-06
