,energy low [eV],energy high [eV],particle,cell,nuclide,score,mean,std. dev.
0,99.99999747378752,1000.0000474974513,neutron,70,total,flux,1.3312878432269256e-07,1.0437915545029389e-07
1,1000.0000474974513,1200.0000569969416,neutron,70,total,flux,0.0,0.0
2,1200.0000569969416,1500.000013038516,neutron,70,total,flux,7.411653401292972e-08,7.411653401292972e-08
3,1500.000013038516,2000.0000949949026,neutron,70,total,flux,1.9696055496027078e-07,1.3215755205426705e-07
4,2000.0000949949026,2300.000051036477,neutron,70,total,flux,6.347469878539339e-08,5.668140706083102e-08
5,2300.000051036477,2499.9999441206455,neutron,70,total,flux,8.661144716874891e-08,8.66114471687489e-08
6,2499.9999441206455,3000.000026077032,neutron,70,total,flux,3.2116765324950204e-07,1.6740541454326354e-07
7,3000.000026077032,4000.000189989805,neutron,70,total,flux,3.2696633008432356e-08,3.2696633008432356e-08
8,4000.000189989805,4999.999888241291,neutron,70,total,flux,2.567468211142294e-07,1.3278788101310146e-07
9,4999.999888241291,6000.000052154064,neutron,70,total,flux,2.5750934834941925e-07,1.369632029615969e-07
10,6000.000052154064,7000.000216066837,neutron,70,total,flux,0.0,0.0
11,7000.000216066837,8000.00037997961,neutron,70,total,flux,0.0,0.0
12,8000.00037997961,8999.999612569809,neutron,70,total,flux,0.0,0.0
13,8999.999612569809,9999.999776482582,neutron,70,total,flux,0.0,0.0
14,9999.999776482582,10999.999940395355,neutron,70,total,flux,0.0,0.0
15,10999.999940395355,12000.000104308128,neutron,70,total,flux,0.0,0.0
16,12000.000104308128,13000.000268220901,neutron,70,total,flux,1.1434290866863321e-07,1.1434290866863321e-07
17,13000.000268220901,14000.000432133675,neutron,70,total,flux,7.15203836010583e-08,7.15203836010583e-08
18,14000.000432133675,14999.999664723873,neutron,70,total,flux,4.350416335644638e-08,4.3504163356446386e-08
19,14999.999664723873,16000.00075995922,neutron,70,total,flux,0.0,0.0
20,16000.00075995922,17000.000923871994,neutron,70,total,flux,0.0,0.0
21,17000.000923871994,17999.999225139618,neutron,70,total,flux,0.0,0.0
22,17999.999225139618,18999.99938905239,neutron,70,total,flux,0.0,0.0
23,18999.99938905239,19999.999552965164,neutron,70,total,flux,0.0,0.0
24,19999.999552965164,20999.999716877937,neutron,70,total,flux,0.0,0.0
25,20999.999716877937,21999.99988079071,neutron,70,total,flux,1.1499310957233249e-07,1.1499310957233249e-07
26,21999.99988079071,23000.000044703484,neutron,70,total,flux,2.4301948479037417e-07,1.4415681331219487e-07
27,23000.000044703484,24000.000208616257,neutron,70,total,flux,5.7846089036775225e-08,5.7846089036775225e-08
28,24000.000208616257,25000.00037252903,neutron,70,total,flux,6.554593520921558e-07,2.407270579198927e-07
29,25000.00037252903,26000.000536441803,neutron,70,total,flux,4.394240826746056e-07,2.2076549059493986e-07
30,26000.000536441803,27000.000700354576,neutron,70,total,flux,2.1258030164467566e-07,1.4201254981432868e-07
31,27000.000700354576,28000.00086426735,neutron,70,total,flux,0.0,0.0
32,28000.00086426735,28999.999165534973,neutron,70,total,flux,0.0,0.0
33,28999.999165534973,29999.999329447746,neutron,70,total,flux,0.0,0.0
34,29999.999329447746,32000.00151991844,neutron,70,total,flux,0.0,0.0
35,32000.00151991844,34000.00184774399,neutron,70,total,flux,5.0816307926631656e-08,5.081630792663165e-08
36,34000.00184774399,35999.998450279236,neutron,70,total,flux,1.0743651337199296e-07,1.0743651337199296e-07
37,35999.998450279236,37999.99877810478,neutron,70,total,flux,6.5159360164089e-08,6.5159360164089e-08
38,37999.99877810478,39999.99910593033,neutron,70,total,flux,1.0094466171032949e-07,7.619688753597672e-08
39,39999.99910593033,41999.999433755875,neutron,70,total,flux,1.0878872494215555e-07,1.0878872494215557e-07
40,41999.999433755875,43999.99976158142,neutron,70,total,flux,1.4522080528452518e-07,8.702357215551194e-08
41,43999.99976158142,46000.00008940697,neutron,70,total,flux,1.1256638482057989e-07,1.1256638482057989e-07
42,46000.00008940697,48000.00041723251,neutron,70,total,flux,7.53797219439835e-08,7.53797219439835e-08
43,48000.00041723251,50000.00074505806,neutron,70,total,flux,9.745056243408499e-08,9.7450562434085e-08
44,50000.00074505806,52000.001072883606,neutron,70,total,flux,4.445619230921488e-08,3.242006475582249e-08
45,52000.001072883606,54000.00140070915,neutron,70,total,flux,0.0,0.0
46,54000.00140070915,56000.0017285347,neutron,70,total,flux,2.1760987380829688e-07,1.4532014409359444e-07
47,56000.0017285347,57999.998331069946,neutron,70,total,flux,1.3016873186489378e-07,7.894323569968627e-08
48,57999.998331069946,59999.99865889549,neutron,70,total,flux,2.38653906354448e-07,1.5941404496675221e-07
49,59999.99865889549,64999.99761581421,neutron,70,total,flux,4.6330946156171407e-07,2.678162222400142e-07
50,64999.99761581421,70000.00029802322,neutron,70,total,flux,7.182870474437478e-07,2.1182288844817069e-07
51,70000.00029802322,75000.00298023224,neutron,70,total,flux,1.1112255320653233e-06,3.604310776941204e-07
52,75000.00298023224,79999.99821186066,neutron,70,total,flux,8.073621802523676e-07,2.999025102526926e-07
53,79999.99821186066,85000.00089406967,neutron,70,total,flux,1.5648422120573277e-06,3.3685186878561036e-07
54,85000.00089406967,90000.00357627869,neutron,70,total,flux,0.0,0.0
55,90000.00357627869,94999.9988079071,neutron,70,total,flux,2.7877296714639246e-07,1.256732308696449e-07
56,94999.9988079071,100000.00149011612,neutron,70,total,flux,3.343351909139429e-07,1.512653311774583e-07
57,100000.00149011612,104999.99672174454,neutron,70,total,flux,1.0062726153182094e-06,3.3230012767227535e-07
58,104999.99672174454,109999.99940395355,neutron,70,total,flux,8.653477748498212e-07,3.2713958466651813e-07
59,109999.99940395355,115000.00208616257,neutron,70,total,flux,6.296312449983189e-07,2.012750765448085e-07
60,115000.00208616257,119999.99731779099,neutron,70,total,flux,9.781275774702835e-07,3.868943744624082e-07
61,119999.99731779099,125000.0,neutron,70,total,flux,1.4578955413775002e-06,3.3368484436350647e-07
62,125000.0,129999.99523162842,neutron,70,total,flux,1.4198478390824338e-06,3.785478302635273e-07
63,129999.99523162842,135000.00536441803,neutron,70,total,flux,1.1619371651249766e-06,4.3452409659375404e-07
64,135000.00536441803,140000.00059604645,neutron,70,total,flux,3.168458801254905e-06,7.369835824025802e-07
65,140000.00059604645,148570.0011253357,neutron,70,total,flux,3.0685806759708513e-07,1.5639300789157932e-07
66,148570.0011253357,157140.00165462494,neutron,70,total,flux,8.880013035130244e-07,2.042912591974738e-07
67,157140.00165462494,165710.00218391418,neutron,70,total,flux,1.470016541119885e-06,4.194257200297832e-07
68,165710.00218391418,174290.0013923645,neutron,70,total,flux,1.0858895895936325e-06,2.6680498133434635e-07
69,174290.0013923645,182860.00192165375,neutron,70,total,flux,2.6143918037237608e-06,5.405113877281922e-07
70,182860.00192165375,191430.002450943,neutron,70,total,flux,3.1509304625472578e-06,6.75190638270242e-07
71,191430.002450943,200000.00298023224,neutron,70,total,flux,3.457859815531067e-07,1.283523998332779e-07
72,200000.00298023224,209999.99344348907,neutron,70,total,flux,1.254964390168779e-06,2.457737356319734e-07
73,209999.99344348907,219999.9988079071,neutron,70,total,flux,2.6560571084640027e-06,3.5537118327163715e-07
74,219999.9988079071,230000.00417232513,neutron,70,total,flux,5.426515432378415e-07,2.3550931893036536e-07
75,230000.00417232513,239999.99463558197,neutron,70,total,flux,1.1295628822752001e-06,2.247011484564016e-07
76,239999.99463558197,250000.0,neutron,70,total,flux,1.6075377710738765e-06,2.6968374047710727e-07
77,250000.0,259999.99046325684,neutron,70,total,flux,1.5842502057237978e-06,3.8915642856009835e-07
78,259999.99046325684,270000.01072883606,neutron,70,total,flux,2.6803773556458536e-06,6.552448922124908e-07
79,270000.01072883606,280000.0011920929,neutron,70,total,flux,3.005275370672818e-06,4.0583201184459727e-07
80,280000.0011920929,289999.99165534973,neutron,70,total,flux,8.670242458368231e-07,2.7834203358625126e-07
81,289999.99165534973,300000.01192092896,neutron,70,total,flux,2.6364387363945337e-06,6.891472767645973e-07
82,300000.01192092896,319999.9928474426,neutron,70,total,flux,7.665123949318471e-06,7.736362392332783e-07
83,319999.9928474426,340000.0035762787,neutron,70,total,flux,3.125586768789512e-06,6.807181973006003e-07
84,340000.0035762787,360000.01430511475,neutron,70,total,flux,8.827822109969688e-06,1.1294418115946261e-06
85,360000.01430511475,379999.9952316284,neutron,70,total,flux,6.299680181257473e-06,7.066048529347089e-07
86,379999.9952316284,400000.0059604645,neutron,70,total,flux,2.1320818190066404e-06,4.60157971161508e-07
87,400000.0059604645,419999.98688697815,neutron,70,total,flux,1.61421876090613e-06,3.547327713134414e-07
88,419999.98688697815,439999.9976158142,neutron,70,total,flux,3.388890279372546e-06,6.676439705413533e-07
89,439999.9976158142,460000.00834465027,neutron,70,total,flux,2.6079531721621266e-06,5.084476548182528e-07
90,460000.00834465027,479999.98927116394,neutron,70,total,flux,4.1212024523173015e-06,5.154614347135822e-07
91,479999.98927116394,500000.0,neutron,70,total,flux,3.5356500802007066e-06,4.7430876649227637e-07
92,500000.0,550000.011920929,neutron,70,total,flux,7.096436119997539e-06,8.704486867451172e-07
93,550000.011920929,600000.0238418579,neutron,70,total,flux,1.142098753319063e-05,8.375918612124696e-07
