,energy low [eV],energy high [eV],particle,cell,nuclide,score,mean,std. dev.
0,341820.0,357430.0,photon,52,total,flux,0.0016321307466371845,3.339515158665697e-05
1,357430.0,380540.0,photon,52,total,flux,0.002194469595015971,3.4262751857753084e-05
2,380540.0,395770.0,photon,52,total,flux,0.001418527909970289,2.115059791834833e-05
3,395770.0,418370.0,photon,52,total,flux,0.002025176918454338,1.6547008482634275e-05
4,418370.0,440720.0,photon,52,total,flux,0.0018919576569461772,3.32687255165588e-05
5,440720.0,462850.0,photon,52,total,flux,0.0018049687076036936,2.5650735367653828e-05
6,462850.0,492060.0,photon,52,total,flux,0.0023315880015932393,4.4388221394603635e-05
7,492060.0,520960.0,photon,52,total,flux,0.0029368277502422368,6.618922124300779e-05
8,520960.0,549600.0,photon,52,total,flux,0.0019513650157079667,2.2481651887083858e-05
9,549600.0,578020.0,photon,52,total,flux,0.001925451473532199,3.783071990679184e-05
10,578020.0,613270.0,photon,52,total,flux,0.0022641552015925026,4.3409776752524684e-05
11,613270.0,648240.0,photon,52,total,flux,0.0021865190955409615,4.0732471248096015e-05
12,648240.0,682980.0,photon,52,total,flux,0.002062440947223574,2.486722714077096e-05
13,682980.0,724410.0,photon,52,total,flux,0.0025304837216297746,5.034038920425348e-05
14,724410.0,772410.0,photon,52,total,flux,0.0026848357524903964,4.811590457173531e-05
15,772410.0,813320.0,photon,52,total,flux,0.0023317269036226746,3.697006284614274e-05
16,813320.0,867580.0,photon,52,total,flux,0.019234174695497618,0.0001226711933824022
17,867580.0,921550.0,photon,52,total,flux,0.0008905980526229833,1.2647138968956694e-05
18,921550.0,975280.0,photon,52,total,flux,0.0007667397954942837,3.520832936316594e-05
19,975280.0,1035500.0000000001,photon,52,total,flux,0.0008747526659054772,2.5808490575116e-05
20,1035500.0000000001,1102100.0,photon,52,total,flux,0.0011758801202915775,3.13366262765183e-05
21,1102100.0,1168500.0,photon,52,total,flux,0.0008926209723834297,2.216152630952707e-05
22,1168500.0,1247900.0,photon,52,total,flux,0.002626669079530476,3.5186113715692554e-05
23,1247900.0,1327000.0,photon,52,total,flux,0.0008194309085481856,1.745395735285362e-05
24,1327000.0,1412500.0,photon,52,total,flux,0.0015705140549749862,2.4478491337221534e-05
25,1412500.0,1504300.0,photon,52,total,flux,0.0006626860930838913,1.9910307489712472e-05
26,1504300.0,1602500.0,photon,52,total,flux,0.0006699041191330305,1.6565991136660688e-05
27,1602500.0,1707000.0,photon,52,total,flux,0.0006922832212976123,2.684337863750691e-05
28,1707000.0,1824300.0,photon,52,total,flux,0.0021420531669598913,4.033664783472582e-05
29,1824300.0,1941400.0,photon,52,total,flux,0.0006284054967011844,1.4549369549496297e-05
30,1941400.0,2071300.0,photon,52,total,flux,0.0007263844149867267,2.034407647079577e-05
31,2071300.0,2214000.0,photon,52,total,flux,0.0017061582699689003,3.0430043000429543e-05
32,2214000.0,2363000.0,photon,52,total,flux,0.00102200660265413,3.0427847400742484e-05
