,energy low [eV],energy high [eV],particle,surface,nuclide,score,mean,std. dev.
0,99.99999747378752,1000.0000474974513,neutron,60,total,current,0.000419,1.9632739096836418e-05
1,1000.0000474974513,1200.0000569969416,neutron,60,total,current,7.4e-05,8.459051693633028e-06
2,1200.0000569969416,1500.000013038516,neutron,60,total,current,0.000136,1.579029237643604e-05
3,1500.000013038516,2000.0000949949026,neutron,60,total,current,0.000253,1.8015425489162183e-05
4,2000.0000949949026,2300.000051036477,neutron,60,total,current,0.00014700000000000005,7.89514618821792e-06
5,2300.000051036477,2499.9999441206455,neutron,60,total,current,8.999999999999999e-05,9.775252199076801e-06
6,2499.9999441206455,3000.000026077032,neutron,60,total,current,0.00024700000000000004,1.238726945070799e-05
7,3000.000026077032,4000.000189989805,neutron,60,total,current,0.00052,2.4675674031095827e-05
8,4000.000189989805,4999.999888241291,neutron,60,total,current,0.0005320000000000001,2.0264912204760473e-05
9,4999.999888241291,6000.000052154064,neutron,60,total,current,0.000486,1.7900962109463694e-05
10,6000.000052154064,7000.000216066837,neutron,60,total,current,0.00018200000000000003,1.762573875520303e-05
11,7000.000216066837,8000.00037997961,neutron,60,total,current,7.900000000000002e-05,6.741249472052192e-06
12,8000.00037997961,8999.999612569809,neutron,60,total,current,8.200000000000001e-05,9.043106644167025e-06
13,8999.999612569809,9999.999776482582,neutron,60,total,current,0.00016800000000000002,1.3968217893171319e-05
14,9999.999776482582,10999.999940395355,neutron,60,total,current,0.000191,9.712534856222291e-06
15,10999.999940395355,12000.000104308128,neutron,60,total,current,0.000195,8.724168218868326e-06
16,12000.000104308128,13000.000268220901,neutron,60,total,current,0.000152,1.0832051206181296e-05
17,13000.000268220901,14000.000432133675,neutron,60,total,current,0.000134,1.087300428686672e-05
18,14000.000432133675,14999.999664723873,neutron,60,total,current,0.00012600000000000003,1.5289793254906263e-05
19,14999.999664723873,16000.00075995922,neutron,60,total,current,0.000131,1.0796089827134422e-05
20,16000.00075995922,17000.000923871994,neutron,60,total,current,0.000119,1.0588253449512399e-05
21,17000.000923871994,17999.999225139618,neutron,60,total,current,0.00011800000000000001,1.3646326326972473e-05
22,17999.999225139618,18999.99938905239,neutron,60,total,current,0.00012500000000000003,1.0671873729054718e-05
23,18999.99938905239,19999.999552965164,neutron,60,total,current,0.000126,8.589399151150117e-06
24,19999.999552965164,20999.999716877937,neutron,60,total,current,0.000181,1.559558342038609e-05
25,20999.999716877937,21999.99988079071,neutron,60,total,current,0.00024900000000000004,2.238302928559937e-05
26,21999.99988079071,23000.000044703484,neutron,60,total,current,0.00038500000000000003,1.7966017304282604e-05
27,23000.000044703484,24000.000208616257,neutron,60,total,current,0.0010010000000000002,3.9085376634575865e-05
28,24000.000208616257,25000.00037252903,neutron,60,total,current,0.0026520000000000003,2.9694743268426187e-05
29,25000.00037252903,26000.000536441803,neutron,60,total,current,0.002345,3.429447639360191e-05
30,26000.000536441803,27000.000700354576,neutron,60,total,current,0.000281,1.7413277182145337e-05
31,27000.000700354576,28000.00086426735,neutron,60,total,current,1.3000000000000001e-05,2.603416558635553e-06
32,28000.00086426735,28999.999165534973,neutron,60,total,current,1.1e-05,3.7859388972001835e-06
33,28999.999165534973,29999.999329447746,neutron,60,total,current,1.7e-05,3.6666666666666695e-06
34,29999.999329447746,32000.00151991844,neutron,60,total,current,9e-05,6.666666666666655e-06
35,32000.00151991844,34000.00184774399,neutron,60,total,current,0.00018299999999999998,1.2827920936595956e-05
36,34000.00184774399,35999.998450279236,neutron,60,total,current,0.00021700000000000002,1.2023125864580954e-05
