,energy low [eV],energy high [eV],particle,cell,nuclide,score,mean,std. dev.
0,1000.0,10000.0,photon,52,total,flux,5.27977225730648e-06,2.677152410022478e-06
1,10000.0,20000.0,photon,52,total,flux,3.6140032698773812e-06,1.284591404525592e-06
2,20000.0,30000.0,photon,52,total,flux,3.405522298204833e-06,1.3201886650682913e-06
3,30000.0,45000.0,photon,52,total,flux,1.2124548013973325e-05,3.6987720599730465e-06
4,45000.0,60000.0,photon,52,total,flux,2.0617096341231087e-05,3.381464310108058e-06
5,60000.0,70000.0,photon,52,total,flux,3.3453313803005126e-05,3.8046060306026525e-06
6,70000.0,75000.0,photon,52,total,flux,2.4576716622915407e-05,4.19464962600607e-06
7,75000.0,100000.0,photon,52,total,flux,0.0004400928761171074,1.5678038714653345e-05
8,100000.0,150000.0,photon,52,total,flux,0.003615049227533773,5.612950836191411e-05
9,150000.0,200000.0,photon,52,total,flux,0.0055550471348068,6.398227138712516e-05
10,200000.0,300000.0,photon,52,total,flux,0.011927851853819053,5.958738718934234e-05
11,300000.0,400000.0,photon,52,total,flux,0.009960010139069136,4.9064477166906305e-05
12,400000.0,450000.0,photon,52,total,flux,0.004292513133728837,5.401194348996167e-05
13,450000.0,510000.0,photon,52,total,flux,0.004775502722431563,6.141344906199113e-05
14,510000.0,512000.0,photon,52,total,flux,0.0009295147822551017,2.56320865757494e-05
15,512000.0,600000.0,photon,52,total,flux,0.005929995724301081,5.6422342451114486e-05
16,600000.0,700000.0,photon,52,total,flux,0.006152433725620602,5.1299295630498764e-05
17,700000.0,800000.0,photon,52,total,flux,0.005655031990295939,8.58085370222621e-05
18,800000.0,1000000.0,photon,52,total,flux,0.02207933142795338,0.00013632381330890085
19,1000000.0,1330000.0,photon,52,total,flux,0.0060565655609260615,2.8186327356208646e-05
20,1330000.0,1340000.0,photon,52,total,flux,0.00010529631873725687,7.832071081266855e-06
21,1340000.0,1500000.0,photon,52,total,flux,0.0020716068951371056,3.273723945708613e-05
22,1500000.0,1660000.0,photon,52,total,flux,0.0010646263559588643,2.7267838721318747e-05
23,1660000.0,2000000.0,photon,52,total,flux,0.0033927760957757373,3.6766924574342156e-05
24,2000000.0,2500000.0,photon,52,total,flux,0.0035949101550388956,5.7714676735877836e-05
25,2500000.0,3000000.0,photon,52,total,flux,0.0025574089767163156,4.8090086770823086e-05
26,3000000.0,3500000.0,photon,52,total,flux,0.0014556953402510711,3.7238979620130395e-05
27,3500000.0,4000000.0,photon,52,total,flux,0.001208655801901243,2.7653246209718575e-05
28,4000000.0,4500000.0,photon,52,total,flux,0.0005071562647625222,1.8807221677641356e-05
29,4500000.0,5000000.0,photon,52,total,flux,0.00036078964646937513,9.525018629413927e-06
30,5000000.0,5500000.0,photon,52,total,flux,0.00025642826689441066,1.5706856410037445e-05
31,5500000.0,6000000.0,photon,52,total,flux,0.00017254143781048845,9.467690827961977e-06
32,6000000.0,6500000.0,photon,52,total,flux,0.00013690650478053633,1.0081029459503209e-05
33,6500000.0,7000000.0,photon,52,total,flux,8.363743695571212e-05,5.84881362742953e-06
34,7000000.0,7500000.0,photon,52,total,flux,5.1404675606737545e-05,4.678238745931166e-06
35,7500000.0,8000000.0,photon,52,total,flux,0.00010413372119816094,6.76045814584467e-06
36,8000000.0,10000000.0,photon,52,total,flux,0.00015928404195483938,8.374582062823917e-06
37,10000000.0,12000000.0,photon,52,total,flux,3.0417538327441935e-06,1.062484344442571e-06
38,12000000.0,14000000.0,photon,52,total,flux,5.004808635555947e-07,5.004808635555947e-07
39,14000000.0,20000000.0,photon,52,total,flux,0.0,0.0
40,20000000.0,30000000.0,photon,52,total,flux,0.0,0.0
41,30000000.0,50000000.0,photon,52,total,flux,0.0,0.0
